Date,Open,High,Low,Close,Adj Close,Volume
2018-06-13,383.750000,401.399994,382.399994,393.799988,363.342377,3551639
2018-06-14,394.299988,403.750000,394.049988,398.700012,367.863434,2696573
2018-06-15,394.000000,406.549988,393.750000,398.500000,367.678864,3087095
2018-06-18,400.649994,404.600006,396.299988,400.500000,369.524200,1020295
2018-06-19,402.399994,411.399994,396.000000,408.950012,377.320648,2731032
2018-06-20,412.850006,413.450012,403.250000,411.799988,379.950195,2069692
2018-06-21,413.000000,415.000000,409.049988,412.299988,380.411499,1535823
2018-06-22,411.049988,414.700012,405.600006,409.200012,377.551300,1775883
2018-06-25,411.149994,422.799988,410.100006,412.350006,380.457642,2310166
2018-06-26,411.950012,413.049988,401.450012,402.950012,371.784698,826083
2018-06-27,404.000000,404.649994,382.600006,388.850006,358.775238,1840808
2018-06-28,385.100006,397.899994,375.100006,378.049988,348.810547,1740737
2018-06-29,384.000000,384.500000,372.299988,377.399994,348.210785,1395303
2018-07-02,380.000000,388.250000,376.000000,385.950012,356.099548,1260663
2018-07-03,386.000000,390.000000,380.899994,386.750000,356.837616,1220377
2018-07-04,388.200012,396.799988,388.200012,394.700012,364.172760,1230554
2018-07-05,394.649994,399.950012,386.149994,387.350006,357.391235,764807
2018-07-06,387.350006,390.899994,380.149994,381.649994,352.132111,571315
2018-07-09,389.549988,391.600006,384.500000,388.049988,358.037079,1028301
2018-07-10,390.000000,390.350006,379.500000,381.149994,351.670746,1364317
2018-07-11,381.000000,383.950012,369.350006,371.000000,342.305786,1886667
2018-07-12,373.149994,373.149994,362.200012,365.799988,337.507965,2011261
2018-07-13,366.899994,369.299988,361.000000,366.100006,337.784821,1103058
2018-07-16,365.350006,365.350006,348.000000,349.750000,322.699280,1177909
2018-07-17,351.000000,365.000000,346.899994,360.149994,332.294952,1486654
2018-07-18,361.899994,365.950012,348.600006,354.250000,326.851288,2124458
2018-07-19,357.700012,357.700012,342.000000,343.549988,316.978882,1718171
2018-07-20,342.450012,350.799988,332.750000,347.950012,321.038574,3529076
2018-07-23,350.000000,360.899994,348.799988,359.450012,331.649139,1337506
2018-07-24,359.799988,374.649994,359.600006,372.450012,343.643646,1350661
2018-07-25,375.799988,377.649994,363.000000,364.950012,336.723755,826018
2018-07-26,364.000000,373.950012,362.049988,371.100006,342.398071,918675
2018-07-27,373.899994,377.000000,371.549988,373.549988,344.658600,460475
2018-07-30,375.000000,383.799988,370.500000,382.600006,353.008636,1361702
2018-07-31,381.799988,385.000000,377.649994,381.450012,355.196899,1479853
2018-08-01,383.399994,385.000000,374.000000,377.500000,354.773956,1438581
2018-08-02,379.000000,381.549988,374.549988,376.100006,353.458252,1169194
2018-08-03,378.100006,382.600006,376.600006,377.299988,354.586060,1430631
2018-08-06,380.750000,385.950012,377.549988,380.299988,357.405426,1252886
2018-08-07,381.000000,381.899994,373.000000,373.850006,351.343750,694292
2018-08-08,375.100006,380.049988,374.250000,375.700012,353.082336,854788
2018-08-09,377.500000,381.399994,374.350006,378.549988,355.760742,734073
2018-08-10,379.899994,381.100006,374.500000,377.149994,354.445038,833811
2018-08-13,373.100006,382.649994,351.000000,354.350006,333.017670,5669251
2018-08-14,355.000000,356.899994,336.000000,340.000000,319.531525,9581860
